Country Name,Series Name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Liberia,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Libya,"Electricity production from oil, gas and coal sources (% of total)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,
Liechtenstein,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,"Electricity production from oil, gas and coal sources (% of total)",13.64331387,17.66454848,20.72732829,20.10610557,17.65074502,14.90690413,14.94582537,15.58767065,22.2129726,22.08329883,19.95545657,19.41922413,19.36761593,76.75210252,67.75788978,68.86729962,57.54627432,51.4832794,52.93565054,,,,,,
Luxembourg,"Electricity production from oil, gas and coal sources (% of total)",67.48768473,53.27868852,56.66666667,50.9478673,76.816609,93.44729345,93.94048046,93.22885866,92.83154122,92.03740436,90.47172759,88.1511372,90.2284264,90.30959752,88.37735849,86.65215814,76.79826933,76.167979,62.6596544,,,,,,
"Macao SAR, China","Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,"Electricity production from oil, gas and coal sources (% of total)",93.30891626,92.00309664,88.46442751,89.94152047,90.07090203,92.85512263,93.55669118,92.91356764,93.71983598,92.82756317,93.34365643,92.37124365,92.99069852,94.00413508,93.28253723,92.61056251,91.41584989,90.292197,90.04283154,,,,,,
Maldives,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Mali,"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,
Malta,"Electricity production from oil, gas and coal sources (% of total)",100,100,100,100,100,100,100,100,100,100,100,100,100,99.95269631,99.54107389,98.86660854,98.4451355,96.65924276,92.32540292,,,,,,
